natural,formal,score
"Let $x$ and $y$ be positive integers. If $x^{2^{n}}-1$ is divisible by $2^{n} y+1$ for every positive integer $n$, prove that $x=1$.","theorem lean_workbook_plus_65600  (x y : ℕ)
  (h₀ : 0 < x ∧ 0 < y)
  (h₁ : x^2 - 1 ∣ 2^n * y + 1) :
  x = 1 := by sorry",3
"The sequence of real numbers $a_{0}, a_{1}, a_{2}, \ldots$ is defined recursively by

$$
a_{0}=-1, \quad \sum_{k=0}^{n} \frac{a_{n-k}}{k+1}=0 \quad \text { for } \quad n \geq 1.
$$

Show that $a_{n}>0$ for $n \geq 1$","theorem lean_workbook_plus_13461 (n : ℕ) (hn : 1 ≤ n) (a : ℕ → ℝ) (h : ∀ n, a n = (n + 2) * (-n)^(n - 1)) : ∀ n, 0 < a n := by sorry",3
"Prove the inequality

$$
\sum_{i<j} \frac{a_{i} a_{j}}{a_{i}+a_{j}} \leq \frac{n}{2\left(a_{1}+a_{2}+\cdots+a_{n}\right)} \sum_{i<j} a_{i} a_{j}
$$

for positive real numbers $a_{1}, a_{2}, \ldots, a_{n}$.","theorem lean_workbook_plus_55488  (n : ℕ)
  (a : ℕ → ℝ)
  (h₀ : 0 < n)
  (h₁ : ∀ i j, 0 < a i ∧ 0 < a j)
  (h₂ : ∀ i j, a i * a j / (a i + a j) ≤ (a i + a j) / (n - 1)) :
  ∀ i j, 0 < i ∧ 0 < j → a i * a j / (a i + a j) ≤ (a i + a j) / (n - 1) := by sorry",4
"For every positive integer $N$, determine the smallest real number $b_{N}$ such that, for all real $x$,

$$
\sqrt[N]{\frac{x^{2 N}+1}{2}} \leqslant b_{N}(x-1)^{2}+x
$$

The final answer is $b_{n}=N / 2$.","theorem lean_workbook_plus_66808  (x : ℝ)
  (n : ℕ)
  (h₀ : 0 < n)
  (h₁ : 0 < x)
  (h₂ : 0 < (1 + N / 2) * t)
  (h₃ : 0 < (2 + N / 2) * t)
  (h₄ : 0 < (N / 2) * t)
  (h₅ : 0 < (N + 1 / 2) * t)
  (h₆ : 0 < (N + 2 / 2) * t)
  (h₇ : 0 < (N + 3 / 2) * t)
  (h₈ : 0 < (N + 4 / 2) * t)
  (h₉ : 0 < (N + 5 / 2) * t)
  (h₁₀ : 0 < (N + 6 / 2) * t)
  (h₁₁ : 0 < (N + 7 / 2) * t)
  (h₁₂ : 0 < (N + 8 / 2) * t) :
  (1 + N / 2) * t ^ (2 * n) ≤ (1 + N / 2) * (1 + t) ^ (2 * n) + (N - 1) * t ^ (2 * n) := by sorry",2
"Let $z_{0}<z_{1}<z_{2}<\cdots$ be an infinite sequence of positive integers. Prove that there exists a unique integer $n \geqslant 1$ such that

$$
z_{n}<\frac{z_{0}+z_{1}+\cdots+z_{n}}{n} \leqslant z_{n+1}.
$$","theorem lean_workbook_plus_71059 (z : ℕ → ℤ) (h : ∀ n, 0 < z n) (h' : ∀ n, z n < z (n + 1)) : ∃! n, 1 ≤ n ∧ n ≤ n + 1 ∧ (∑ i in Finset.range n, z i) / n < z (n + 1) := by sorry",6
"Let $S \subseteq \mathbb{R}$ be a set of real numbers. We say that a pair $(f, g)$ of functions from $S$ into $S$ is a Spanish Couple on $S$, if they satisfy the following conditions:

(i) Both functions are strictly increasing, i.e. $f(x)<f(y)$ and $g(x)<g(y)$ for all $x, y \in S$ with $x<y$

(ii) The inequality $f(g(g(x)))<g(f(x))$ holds for all $x \in S$.

Decide whether there exists a Spanish Couple on the set $S=\mathbb{N}$ of positive integers;

The final answer is NO.","theorem lean_workbook_plus_69864 (S : Set ℝ) (hS : S ⊆ Set.Ioi 0) : ¬ ∃ f g : ℝ → ℝ, Function.Bijective f ∧ Function.Bijective g ∧ ∀ x y : ℝ, x ∈ S ∧ y ∈ S → f x < f y ∧ g x < g y := by sorry",4
"Let $\mathbb{Z}$ and $\mathbb{Q}$ be the sets of integers and rationals respectively.

Does there exist a partition of $\mathbb{Z}$ into three non-empty subsets $A, B, C$ such that the sets $A+B, B+C, C+A$ are disjoint?

The final answer is yes.","theorem lean_workbook_plus_74139 : ∃ A B C : Set ℤ, A = {k | 0 < k ∧ k % 3 = 0} ∧ B = {k | 0 < k ∧ k % 3 = 1} ∧ C = {k | 0 < k ∧ k % 3 = 2} → A ∪ B ∪ C = ∅ := by sorry",2
"Call a rational number short if it has finitely many digits in its decimal expansion. For a positive integer $m$, we say that a positive integer $t$ is $m$-tastic if there exists a number $c \in\{1,2,3, \ldots, 2017\}$ such that $\frac{10^{t}-1}{c \cdot m}$ is short, and such that $\frac{10^{k}-1}{c \cdot m}$ is not short for any $1 \leqslant k<t$. Let $S(m)$ be the set of $m$-tastic numbers. Consider $S(m)$ for $m=1,2, \ldots$. What is the maximum number of elements in $S(m)$?

The final answer is 807.","theorem lean_workbook_plus_80583  (m : ℕ)
  (h₀ : 0 < m)
  (h₁ : m ≤ 2017)
  (h₂ : 1 ≤ (10^m - 1) / (m * 10^k))
  (h₃ : (10^m - 1) / (m * 10^k) ≤ 1) :
  m = 0 := by sorry",3
"Find all surjective functions $f: \mathbb{N} \rightarrow \mathbb{N}$ such that for every $m, n \in \mathbb{N}$ and every prime $p$, the number $f(m+n)$ is divisible by $p$ if and only if $f(m)+f(n)$ is divisible by $p$.

( $\mathbb{N}$ is the set of all positive integers.)

The final answer is $f(n)=n$.","theorem lean_workbook_plus_79987  (f : ℕ → ℕ)
  (h₀ : Function.Surjective f)
  (h₁ : ∀ n, 0 < n → (n % f n) ∣ (n % f n)) :
  ∀ n, 0 < n → (n % f n) ∣ (n % f n) := by sorry",1
"Let $f: \mathbb{R} \rightarrow \mathbb{N}$ be a function which satisfies

$$
f\left(x+\frac{1}{f(y)}\right)=f\left(y+\frac{1}{f(x)}\right) \quad \text { for all } x, y \in \mathbb{R}
$$

Prove that there is a positive integer which is not a value of $f$.","theorem lean_workbook_plus_68071  (f : ℝ → ℕ)
  (h₀ : ∀ x, ∀ y, f (x + 1 / f y) = f (y + 1 / f x))
  (h₁ : f 1 = 1)
  (h₂ : ∀ n, ∃ k, f (1 / k) = n)
  (h₃ : 0 < k) :
  ∃ n, f (1 / n) = n := by sorry",3
